animeTitle	Egao no Orquesta!
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	882
animeRank	
animePopularity	9720
animeDescription	Music video of the project band Hello, Happy World!
animeRelated	['Yes! BanG_Dream!', 'Star Beat!: Hoshi no Kodou', 'Hashiri Hajimeta bakari no Kimi ni', 'BanG Dream!']
animeCharacters	['Tsurumaki, Kokoro', 'Seta, Kaoru', 'Okusawa, Misaki', 'Matsubara, Kanon', 'Kitazawa, Hagumi']
animeVoices	['Itou, Miku', 'Tadokoro, Azusa', 'Kurosawa, Tomoyo', 'Toyota, Moe', 'Yoshida, Yuuri']
animeStaff	[]
