animeTitle	Be-yond
animeType	OVA
animeNumEpisode	2
releaseDate	1998-02-27 00:00:00
endDate	1998-05-29 00:00:00
animeNumMembers	1377
animeScore	5.77
animeUsers	431
animeRank	
animePopularity	10351
animeDescription	"Based on an adult game by ELF.

When I woke up from the darkness, I learned that I was the legendary Devil of Darkness that was said to have a power to destroy the universe. The beautiful girls make approaches to me one after another. My shout roars in space. When I touch a villain gently, he decomposes into molecules... It seemed that I have the power... But... am I really the Devil?"
animeRelated	[]
animeCharacters	['Masaji']
animeVoices	[]
animeStaff	[['Tanaka, Eiko', 'Producer'], ['Watanabe, Jun', 'Sound Director'], ['Yamamoto, Harukichi', 'Theme Song Arrangement'], ['Nakayama, Daisuke', 'Key Animation']]
