animeTitle	Persona 2: Another Self
animeType	Special
animeNumEpisode	1
releaseDate	2000-06-29 00:00:00
endDate	
animeNumMembers	5294
animeScore	6.24
animeUsers	1281
animeRank	7498
animePopularity	6842
animeDescription	Animated promotional trailer for the Persona 2: Innocent Sin, a game for PlayStation. Included as a bonus on the Persona 2: Eternal Punishment Bonus Disc.
animeRelated	['Persona: Trinity Soul']
animeCharacters	['Suou, Tatsuya', 'Amano, Maya', 'Mishina, Eikichi', 'Kurosu, Jun', 'Suou, Katsuya', 'Silverman, Lisa']
animeVoices	[]
animeStaff	[['Soejima, Shigenori', 'Original Character Design'], ['Atlus', 'Original Creator'], ['Itou, Tatsufumi', 'Key Animation']]
