animeTitle	Unbalance
animeType	OVA
animeNumEpisode	3
releaseDate	2002-06-28 00:00:00
endDate	2002-12-27 00:00:00
animeNumMembers	
animeScore	5.74
animeUsers	727
animeRank	
animePopularity	9011
animeDescription	"The Hungry Bear is a restaurant where carnal appetites are satisfied to order. The waitress, Mika, has just uncovered the secret life of her late sister, a woman who would perform any sexual act, no matter how bizarre! But the secret's all in the sauce, and Mika vows to service her clientele's insatiable appetite for the exotic!

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
