animeTitle	b'Lie Huo Jiao Chou'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	263
animeRank	
animePopularity	
animeDescription	"b'In the current era, a small percentage of people called ""Special Abilities"" have skills and powers normal humans do not possess. An autonomous organization, the Deviant Control Office, keeps these Special Abilities in check. Though some wish to maintain this order and peace, some wish to take advantage of their abilities and obtain more power in this world.'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
