animeTitle	Sengoku Bushou Retsuden Bakufuu Douji Hissatsuman
animeType	OVA
animeNumEpisode	3
releaseDate	1990-06-22 00:00:00
endDate	1990-10-25 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14550
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Hiraga, Genmai', 'Tokugawa, Ieyasu', 'Bijo', 'Bujo', 'Ishida, Mitsunari', 'Uesugi, Kenmizu', 'Bajo', 'Reporter', 'Nagoya, Hyoue']
animeVoices	['Kusao, Takeshi', 'Suzuki, Kiyonobu', 'Ohara, Noriko', 'Tarako', 'Nakao, Ryusei', 'Ebara, Masashi', 'Mizutani, Yuuko', 'Tomiyama, Kei', 'Chiba, Shigeru']
animeStaff	[['Sasagawa, Hiroshi', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Kamata, Hidemi', 'Script'], ['Yamamoto, Masayuki', 'Theme Song Performance']]
