animeTitle	Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou
animeType	Special
animeNumEpisode	6
releaseDate	2011-09-21 00:00:00
endDate	2012-02-22 00:00:00
animeNumMembers	
animeScore	7.21
animeUsers	13331
animeRank	
animePopularity	3112
animeDescription	"Spin-off of Baka to Test to Shoukanjuu that has been serialized on Famitsu Comic Clear website since 2010.

These specials are included in the Baka to Test Ni! BD/DVD releases."
animeRelated	['Baka to Test to Shoukanjuu Spinout!: Sore ga Bokura no Nichijou.', 'Baka to Test to Shoukanjuu Ni!', 'Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi']
animeCharacters	['Kinoshita, Hideyoshi', 'Yoshii, Akihisa', 'Tsuchiya, Kouta', 'Shimada, Minami', 'Kirishima, Shouko', 'Himeji, Mizuki', 'Sakamoto, Yuuji', 'Kudou, Aiko', 'Yoshii, Akira', 'Kinoshita, Yuuko']
animeVoices	['Katou, Emiri', 'Shimono, Hiro', 'Miyata, Kouki', 'Mizuhashi, Kaori', 'Isomura, Tomomi', 'Harada, Hitomi', 'Suzuki, Tatsuhisa', 'Nanjou, Yoshino', 'Inoue, Kikuko']
animeStaff	[['Haga, Yui', 'Original Character Design']]
