animeTitle	Yume wo Kanaeru Zou
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13698
animeDescription	"It's about an ordinary office worker Fumiyama Fumio, who gains self-confidence by the advices of an Indian god, Ganesha.
"
animeRelated	[]
animeCharacters	['Fumiyama, Fumio']
animeVoices	[]
animeStaff	[['Daichi, Akitarou', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Tagashira, Shinobu', 'Character Design'], ['Matsumura, Masahiro', 'Editing']]
