animeTitle	Spectral Force
animeType	OVA
animeNumEpisode	2
releaseDate	1998-11-25 00:00:00
endDate	1999-03-25 00:00:00
animeNumMembers	2104
animeScore	3.71
animeUsers	773
animeRank	11963
animePopularity	9303
animeDescription	"In a time when demons rule the world and mankind seeks freedom, human rebels gain control of the demon-slaying sword Tenmaken and attempt to assassinate the Demon King Janus. To preserve the sovereignty of her homeland, the half-human, half-demon Princess Hiro must overcome her deep hatred of the humans or face a war that will ravage the entire world!

(Source: AniDB)"
animeRelated	['Spectral Force Chronicle Divergence']
animeCharacters	['Hiro', 'Azalea']
animeVoices	['Miyamura, Yuko', 'Kouda, Mariko']
animeStaff	[['Kuwana, Shingo', 'Producer'], ['Satou, Yoshiteru', 'Director, Script, Storyboard, Screenplay'], ['Idea Factory', 'Original Creator'], ['Shinohara, Nobuko', 'Key Animation']]
