animeTitle	b'Shin Karate Jigoku-hen'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A returning veteran and karateka from WW2 starts working for the yakuza, looking for a man strong enough to kill him. After becoming karate champion, he joins an Italian woman who is looking for revenge against the nazis who killed her family.'
animeRelated	[b'Shin Karate Jigoku-hen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
