animeTitle	Yakata: Kannou Kitan
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	2188
animeRank	
animePopularity	6363
animeDescription	"Based on the adult game by Bishop.

A mysterious man is sent to teach a wealthy heiress and her two beautiful daughters the ways of carnal pleasure. Together with his trusty maid, he will make these sexy women scream in ecstasy again and again."
animeRelated	[]
animeCharacters	['Zenouji, Miki', 'Oogami, Akira', 'Zenouji, Ruri', 'Zenouji, Ayame', 'Kurohara, Ryou']
animeVoices	['Taguchi, Hiroko', 'Ichigoyama, Buntarou']
animeStaff	[['Bishop', 'Original Creator']]
