animeTitle	Aoi Blink
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	603
animeRank	
animePopularity	9904
animeDescription	Story of a young boy named Kakeru and his adventures together with a magical blue pony named Blink.
animeRelated	[]
animeCharacters	['Blink', 'Tanba', 'Shiki, Kakeru', 'Satch', 'Kirara', 'Nitch']
animeVoices	['Nozawa, Masako', 'Yoshimura, You', 'Itou, Miki', 'Ogata, Kenichi']
animeStaff	[['Suzuki, Takuo', 'Storyboard'], ['Takagi, Shinji', 'Storyboard'], ['Asada, Yuuji', 'Storyboard'], ['Ishiguro, Megumu', 'Storyboard, Animation Director']]
