animeTitle	b'Tough Guy!'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.49
animeUsers	139
animeRank	
animePopularity	
animeDescription	"b""An aggressive and martial arts-devoted mantis kicks cans and hunts down cicadas, bringing havoc into the life of a couple of humans. This personal opus by Shintaro Kishimoto, now steady collaborator of Production I.G's 3D crew, won the prestigious Ofuji Award in 2005.\n\n(Source: Production I.G)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
