animeTitle	Kowaremono
animeType	OVA
animeNumEpisode	3
releaseDate	2000-05-20 00:00:00
endDate	2000-11-20 00:00:00
animeNumMembers	
animeScore	5.57
animeUsers	871
animeRank	
animePopularity	8346
animeDescription	"Aki is an Andromaid, half android, half maid. Created to infiltrate the house of Kenichi, she disguises herself as an ordinary housekeeper. Her mission is to capture a sample of Kenichi`s superior sperm, but she ends up with more than she bargained for. Will her android heart find love after comforting her sad new master? 

(Source: AniDB)"
animeRelated	['Kowaremono II']
animeCharacters	['Aki']
animeVoices	[]
animeStaff	[]
