animeTitle	Yuusha Tokkyuu Might Gaine
animeType	TV
animeNumEpisode	47
releaseDate	1993-01-30 00:00:00
endDate	1994-01-24 00:00:00
animeNumMembers	2500
animeScore	6.87
animeUsers	524
animeRank	4316
animePopularity	8859
animeDescription	"Nouvelle Tokio City locates on the place where it used to be Tokyo Bay. At the first glance, the prosperous city seems to enjoy its freedom and peace, but the city is suffering from the crimes.

Senpuuji Maito is a perfect 15-year-old boy, bright, handsome, smart, and all-around sportsman. Furthermore, he is the leader of Senpuuji Trading group, and a multimillionaire. He spends his private fortune to found ""Brave Express Squad""? which consists of several robots. They are the robots that have various special abilities. Above all, the leader, Gaine, has a super artificial intelligence and has own personality. They can transform into trains. In case of incidents, they will appear anywhere in the world using the highly developed railway system."
animeRelated	['Yuusha-Ou GaoGaiGar', 'Densetsu no Yuusha Da Garn', 'Yuusha Exkaiser', 'Yuusha Tokkyuu Might Gaine', 'Taiyou no Yuusha Fighbird', 'Yuusha Keisatsu J-Decker', 'Ougon Yuusha Goldran']
animeCharacters	['Senpuuji, Maito', 'Yoshinaga, Sally', 'Vuitton, Catherine', 'Rival, Joe']
animeVoices	['Hiyama, Nobuyuki', 'Yajima, Akiko', 'Midorikawa, Hikaru']
animeStaff	[['Takamatsu, Shinji', 'Director, Episode Director, Storyboard'], ['Ishiodori, Hiroshi', 'Episode Director, Storyboard'], ['Minami, Yasuhiro', 'Episode Director, Storyboard'], ['Yamada, Yasunori', 'Script']]
