animeTitle	Kidou Keisatsu Patlabor: Reboot
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	1697
animeRank	
animePopularity	6812
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Kidou Keisatsu Patlabor: On Television', 'Kidou Keisatsu Patlabor the Movie', 'Kidou Keisatsu Patlabor 2 the Movie', 'Kidou Keisatsu Patlabor', 'Kidou Keisatsu Patlabor: New OVA', 'WXIII Kidou Keisatsu Patlabor']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
