animeTitle	Birthday Boy
animeType	Movie
animeNumEpisode	1
releaseDate	2004-01-01 00:00:00
endDate	
animeNumMembers	1760
animeScore	5.83
animeUsers	891
animeRank	9268
animePopularity	9777
animeDescription	"Korean War, 1951. Little Manuk is playing on the streets of his village and dreaming of life at the front where his father is a soldier. He returns home to find a parcel on the doorstep and, thinking it is a birthday present, he opens it. But its contents will change his life.

(Source: IMDB)
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
