animeTitle	Alice SOS
animeType	TV
animeNumEpisode	28
releaseDate	
endDate	
animeNumMembers	
animeScore	6.04
animeUsers	189
animeRank	
animePopularity	9999
animeDescription	"Takashi loves reading books and especially loves ""Alice's Adventures in Wonderland"". One day, he buys some used books, and he finds one book thrown in. When Takashi opens the book, ""the God of Math"" M-1 appeared. Takashi is told that Alice is kidnapped, and he's asked to rescue her by M-1. And Takashi goes on an adventure in Wonderland to rescue Alice. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Ashikawa, Yukari', 'Kazumi, Toshio', 'Sagano, Takashi', 'M1', 'Neko, Namekuji', 'Sugita, Hiromi']
animeVoices	['Ikezawa, Haruna', 'Tsukui, Kyousei', 'Kumai, Motoko', 'Takiguchi, Junpei', 'Nishimura, Tomohiro', 'Shiraishi, Ayako']
animeStaff	[['Hosoda, Mamoru', 'Director, Storyboard'], ['Kaneko, Shingo', 'Director, Storyboard'], ['Hosoda, Masahiro', 'Episode Director, Storyboard'], ['Ozeki, Masayuki', 'Episode Director']]
