animeTitle	Sore Ike! Anpanman: Gomira no Hoshi
animeType	Movie
animeNumEpisode	1
releaseDate	2001-07-14 00:00:00
endDate	
animeNumMembers	253
animeScore	
animeUsers	
animeRank	13471
animePopularity	15192
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Shokupanman', 'Melonpanna', 'Oji-san, Jam', 'Yadahime']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Shimamoto, Sumi', 'Kanai, Mika', 'Masuoka, Hiroshi', 'Sakai, Noriko']
animeStaff	[['Ooga, Shunji', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Dreaming', 'Theme Song Performance']]
