animeTitle	K-On!!: Ura-On!!
animeType	Special
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	17599
animeRank	
animePopularity	2863
animeDescription	"Extra short anime ""Ura-On!!"" included in the limited edition of the K-ON!! Blu-ray. "
animeRelated	['K-On!: Ura-On!', 'K-On!!']
animeCharacters	['Hirasawa, Yui', 'Akiyama, Mio', 'Nakano, Azusa', 'Kotobuki, Tsumugi', 'Tainaka, Ritsu', 'Yamanaka, Sawako', 'Hirasawa, Ui', 'Manabe, Nodoka', 'Suzuki, Jun']
animeVoices	['Toyosaki, Aki', 'Hikasa, Youko', 'Taketatsu, Ayana', 'Kotobuki, Minako', 'Satou, Satomi', 'Sanada, Asami', 'Yonezawa, Madoka', 'Fujitou, Chika', 'Nagata, Yoriko']
animeStaff	[['Kakifly', 'Original Creator']]
