animeTitle	Aria the Origination Picture Drama
animeType	Special
animeNumEpisode	7
releaseDate	2008-04-25 00:00:00
endDate	2008-10-25 00:00:00
animeNumMembers	
animeScore	7.05
animeUsers	4432
animeRank	
animePopularity	5226
animeDescription	Picture Dramas bundled on the DVD volumes.
animeRelated	['Aria the Origination']
animeCharacters	['Mizunashi, Akari', 'Carroll, Alice', 'Florence, Alicia', 'Granzchesta, Aika S.', 'Pokoteng, Aria', 'Glory, Athena', 'Ferrari, Akira E.', 'Aino, Ai', 'Maa', 'Izumo, Akatsuki']
animeVoices	['Hazuki, Erino', 'Hirohashi, Ryou', 'Ohara, Sayaka', 'Saitou, Chiwa', 'Nishimura, Chinami', 'Kawakami, Tomoko', 'Minagawa, Junko', 'Mizuhashi, Kaori', 'Watanabe, Akeno', 'Nojima, Hirofumi']
animeStaff	[['Amano, Kozue', 'Original Creator'], ['Choro Club', 'Music'], ['Senoo, Takeshi', 'Music'], ['Koga, Makoto', 'Character Design']]
