animeTitle	Yoligongju Loopy
animeType	TV
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15455
animeDescription	A spin-off Pororo series focusing around food, predominantly kimchi incorporated food. Loopy was the cooking expert in the original series so she explains the food and science by magically transforming into a Cooking Princess.
animeRelated	['Porong Porong Pororo 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
