animeTitle	Tanjou: Debut
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.08
animeUsers	325
animeRank	
animePopularity	11257
animeDescription	"Aki Itou is a normal highschool girl doing normal things: reading books, feeding stray cats, eating at restaurants with her friend Kumi, dreaming of being an adult, and admiring the boy she likes. However, reality is not always kind to girls with dreams, as she finds out.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Fujimura, Saori', 'Tanaka, Kumi', 'Itou, Aki']
animeVoices	['Kasahara, Hiroko', 'Kanai, Mika', 'Tominaga, Miina']
animeStaff	[['Mochizuki, Tomomi', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Kaneko, Hidetoshi', 'Art Director'], ['Watanabe, Jun', 'In-Between Animation']]
