animeTitle	Xiao Kedou Zhao Mama
animeType	Movie
animeNumEpisode	1
releaseDate	1960-01-01 00:00:00
endDate	
animeNumMembers	452
animeScore	5.6
animeUsers	192
animeRank	10084
animePopularity	13244
animeDescription	"The narrated film describes the adventures and misadventures of a group of tadpoles in search of their mother. It is one of Te Wei's first attempts to break away from Western style animation and aim for a painterly style influenced by Qi Baishi and more in keeping with native Chinese aesthetic sensibilities.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
