animeTitle	b'Doraemon and Itchy the Stray'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	623
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Doraemon (1979)']
animeCharacters	[b'Doraemon', b'Nobi, Nobita', b'Minamoto, Shizuka', b'Ichi', b'Honekawa, Suneo', b'Gouda, Takeshi']
animeVoices	[b'\nOoyama, Nobuyo\nJapanese\n', b'\nKimotsuki, Kaneta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFujiko, Fujio F.\n\nOriginal Creator\n\n', b'\nKikuchi, Shunsuke\n\nMusic\n\n']
