animeTitle	Seme♥Chichi
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	965
animeRank	
animePopularity	8263
animeDescription	Kis's father has a disdain for his son's lack of a job and desire to be a painter. When he shows up at his house, his father decides to punish Kis by offering his beloved maid, Nanaly, to strangers while Kis watches.
animeRelated	['Seme♥Chichi']
animeCharacters	['Renka', 'Nunnally', 'Chichioya', 'Keith']
animeVoices	[]
animeStaff	[['Erect, Sawaru', 'Original Creator'], ['Tsubone, Kentarou', 'Editing']]
