animeTitle	Youma Shoukan e Youkoso
animeType	OVA
animeNumEpisode	2
releaseDate	2020-02-07 00:00:00
endDate	2020-03-06 00:00:00
animeNumMembers	5752
animeScore	6.62
animeUsers	2272
animeRank	
animePopularity	6650
animeDescription	The protagonist (interpreted by the spectators in a subjective view) shows up at the Palace of the Mystic Courtesans to savor strong pleasures, choosing from a wide variety of courtesans of various species. The protagonist will be guided by Marina of the receptionist to find the right courtesans who can satisfy him.
animeRelated	[]
animeCharacters	['Maria', 'Nina', 'Ayame', 'Yuri', 'Megumi', 'Mari', 'Kris', 'Kanata']
animeVoices	[]
animeStaff	[['Raika, Ken', 'Director']]
