animeTitle	Nessa no Haou Gandalla
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.85
animeUsers	158
animeRank	
animePopularity	10143
animeDescription	A dispute between young band members and an unfortunate choice of melody inadverdently draws them all into the demonic horror known as  the desert-god Gandalla. 
animeRelated	[]
animeCharacters	['Blanton, Emma', 'Saijou, Yuuki', 'Mackenzie', 'Woman Pegasus', 'Sukani', 'Michelle', 'Saddam', 'Krayser', 'Babalon', 'Shirika']
animeVoices	['Komatsu, Rika', 'Matsumoto, Yasunori', 'Morikawa, Toshiyuki', 'Sasamoto, Yuuko', 'Yuasa, Kaori', 'Touma, Yumi', 'Tobita, Nobuo', 'Yao, Kazuki', 'Suzuki, Reiko', 'Uemura, Noriko']
animeStaff	[['Matsuura, Noriyoshi', 'Sound Director'], ['Kawase, Toshifumi', 'Episode Director'], ['Ueda, Hidehito', 'Episode Director, Storyboard, Chief Animation Director'], ['Takada, Jun', 'Episode Director, Storyboard']]
