animeTitle	Gu-Gu Ganmo (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1985-03-16 00:00:00
endDate	
animeNumMembers	271
animeScore	
animeUsers	
animeRank	15834
animePopularity	14916
animeDescription	"Movie version that lampooned several Japanese Folklore Tales, including that of Princess Kaguya.

Based on a manga by Hosono Fujihiko, serialised in Weekly Shounen Sunday.

(Source: AniDB)"
animeRelated	['Gu-Gu Ganmo']
animeCharacters	['Ganmo', 'Tsukuda, Hanpeita', 'Skylark, Linda']
animeVoices	['Sugiyama, Kazuko', 'Tanaka, Mayumi', 'Mita, Yuuko']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Tsuchiya, Tokio', 'Script'], ['Inoue, Toshiyuki', 'Animation Director, Character Design'], ['Masayuki', 'Key Animation']]
