animeTitle	Oshi ga Budoukan Ittekuretara Shinu
animeType	TV
animeNumEpisode	12
releaseDate	2020-01-10 00:00:00
endDate	2020-03-27 00:00:00
animeNumMembers	33704
animeScore	7.44
animeUsers	13773
animeRank	1836
animePopularity	3113
animeDescription	A girl is obsessed with her favorite idol, a minor member of a less popular group, enough that she says she'd die to see her play at Budoukan. 
animeRelated	['Oshi ga Budoukan Ittekuretara Shinu']
animeCharacters	['Eripiyo', 'Ichii, Maina', 'Hakata, Maki', 'Teramoto, Yuka', 'Yokota, Aya', 'Kumasa', 'Mizumori, Yumeri', 'Yoshikawa', 'Matsuyama, Sorane', 'Reina']
animeVoices	['Fairouz, Ai', 'Tachibana, Hina', 'Enoyoshi, Maya', 'Watada, Misaki', 'Itou, Manami', 'Maeno, Tomoaki', 'Ishihara, Kaori', 'Nakamura, Yuuichi', 'Hasegawa, Ikumi', 'Ichinose, Kana']
animeStaff	[['Yamamoto, Yuusuke', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Hondo, Kaede', 'Theme Song Performance'], ['Fairouz, Ai', 'Theme Song Performance']]
