animeTitle	Francesca
animeType	TV
animeNumEpisode	24
releaseDate	2014-07-07 00:00:00
endDate	2014-12-15 00:00:00
animeNumMembers	
animeScore	5.44
animeUsers	1299
animeRank	
animePopularity	5498
animeDescription	"TV anime adaptation based on the undead idol character Francesca to promote Hokkaido, Japan.

(Source: MAL News)"
animeRelated	['Hungry Zombie Francesca!!']
animeCharacters	['Francesca', 'Exorcist', 'Ishikawa, Takuboku', 'Ichimura, Tetsunosuke', 'Franken', 'Shimada, Kai', 'Minamoto, Yoshitsune', 'Nara, Heikichi', 'Nara, Heitarou', 'Nara, Heiko']
animeVoices	['Makino, Yui', 'Tano, Asami', 'Sugiyama, Noriaki', 'Naitou, Ami', 'Ikezoe, Tomofumi', 'Miyamoto, Katsuya', 'Hino, Satoshi', 'Kawada, Shinji', 'Oi, Marie']
animeStaff	[['Yano, Yuuichirou', 'Director, Storyboard'], ['Takeuchi, Toshimitsu', 'Script'], ['Makino, Yui', 'Theme Song Performance'], ['Kawada, Ruka', 'Theme Song Composition']]
