animeTitle	Teinenpi Shoujo Heidi
animeType	ONA
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	5.85
animeUsers	210
animeRank	
animePopularity	12553
animeDescription	"Commercial web animation made for Nissan Note. Despite being a commercial, the content is highly independent, starting with a little girl keep asking everyone what is ""Teinenpi"", a kanji word meaning low fuel cost. 

It features a parody of the classic anime ""Heidi"" in 1974 but directed by Mr. Fumihara Satoshi, the director of the gag anime ""The World of Golden Eggs"".

It also features Mr. Koumoto Junichi playing multiple roles including: Heidi's Grandpa, Peter, Kurara and the sheep!

(Source: news.searchina.ne.jp)"
animeRelated	['Alps no Shoujo Heidi', 'Teinenpi Shoujo Heidi CMs']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
