animeTitle	Piyoko ni Omakase pyo!
animeType	OVA
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	860
animeRank	
animePopularity	8968
animeDescription	"Leave it to Piyoko! Move over, Di Gi Charat! 

Piyoko and the Black Gema Gema Gang star in this new OVA series. From the Planet Analogue to Earth, the Black Gema Gema Gang try to kidnap Dejiko and hold her ransom to find their dream of a prosperous home! 

(Source: AniDB) "
animeRelated	['Di Gi Charat']
animeCharacters	['Analogue III, Pyocola', 'Schweitzer, Ky', 'Erhard, Coo', 'Heisenberg, Rik', 'Di Gi Charat', 'Petit Charat', 'Usada, Hikaru', 'Gema']
animeVoices	['Hayashibara, Megumi', 'Suzuki, Chihiro', 'Saeki, Tomo', 'Toriumi, Kousuke', 'Sawashiro, Miyuki']
animeStaff	[['Sakurai, Hiroaki', 'Director, Storyboard'], ['Ikeda, Mamiko', 'Script'], ['Masuda, Toshio', 'Music'], ['Nagahama, Hiroshi', 'Screenplay']]
