animeTitle	Dies Irae: Irasshai Zonnenji
animeType	ONA
animeNumEpisode	18
releaseDate	
endDate	
animeNumMembers	
animeScore	5.59
animeUsers	383
animeRank	
animePopularity	8543
animeDescription	A picture drama parody of Dies Irae, but advertised as a radio-style drama. It predominantly follows a chibi-Kasumi and chibi-Rea at the temple.
animeRelated	['Dies Irae']
animeCharacters	['Himuro, Rea', 'Ayase, Kasumi', 'Schwägelin, Rusalka', 'Sakurai, Kei', 'Trifa, Valeria', 'Ehrenburg, Wilhelm', 'von Kircheisen, Beatrice Waltrud', 'Schreiber, Wolfgang', 'von Wittenburg, Eleonore', 'Brenner, Riza']
animeVoices	[]
animeStaff	[['Masada, Takashi', 'Original Creator'], ['G-Yuusuke', 'Original Character Design']]
