animeTitle	Yatogame-chan Kansatsu Nikki Sansatsume
animeType	TV
animeNumEpisode	12
releaseDate	2021-01-10 00:00:00
endDate	2021-03-28 00:00:00
animeNumMembers	10749
animeScore	6.35
animeUsers	3719
animeRank	6921
animePopularity	5165
animeDescription	Third season of Yatogame-chan Kansatsu Nikki.
animeRelated	['Yatogame-chan Kansatsu Nikki', 'Yatogame-chan Kansatsu Nikki Nisatsume']
animeCharacters	['Yatogame, Monaka', 'Sasatsu, Yanna', 'Jin, Kaito', 'Tadakusa, Mai', 'Jandara, Rin', 'Jin, Hanka', 'Koshiyasu, Nanaho', 'Itemae, Shiharu', 'Teppei', 'Shonai, Lala']
animeVoices	['Tomatsu, Haruka', 'Komatsu, Mikako', 'Ichiki, Mitsuhiro', 'Wakai, Yuuki', 'Matsui, Eriko', 'Toujou, Hisako', 'Itou, Ayasa', 'Kuroki, Honoka', 'Akabane, Kenji', 'Nanjou, Yoshino']
animeStaff	[['Hirasawa, Hisayoshi', 'Director, Sound Director'], ['Hayasaka, Satsuki', 'Character Design'], ['Kawakami, Hitoshi', 'Art Director'], ['WORDS in STEREO', 'Series Composition']]
