animeTitle	Biohazard: Vendetta
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.01
animeUsers	9866
animeRank	
animePopularity	4197
animeDescription	"Chris Redfield enlists the help of Leon S. Kennedy and Rebecca Chambers to stop a death merchant, with a vengeance, from spreading a deadly virus in New York.

(Source: IMDB)"
animeRelated	['Biohazard: Damnation']
animeCharacters	['Kennedy, Leon Scott', 'Redfield, Chris', 'Chambers, Rebecca', 'Arias, Glenn', 'Nadia', 'Gomez, Maria', 'Patricio', 'Aaron', 'D.C.', 'Gomez, Diego']
animeVoices	['Morikawa, Toshiyuki', 'Touchi, Hiroki', 'Koshimizu, Ami', 'Kirimoto, Takuya', 'Tomatsu, Haruka', 'Ohara, Sayaka', 'Ootomo, Ryuuzaburou']
animeStaff	[['Tsujimoto, Takanori', 'Director'], ['Fukami, Makoto', 'Script'], ['Kawai, Kenji', 'Music'], ['Shimizu, Takashi', 'Executive Producer']]
