animeTitle	Exception
animeType	ONA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10294
animeDescription	"In the distant future, human beings have been forced to leave earth and migrate to another galaxy. An advanced team of spacecraft arrives at a planet that is to be terraformed. Each member of the team is output by a biological 3D printer. 

(Source: Netflix)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
