animeTitle	X-Men
animeType	TV
animeNumEpisode	12
releaseDate	2011-04-01 00:00:00
endDate	2011-06-24 00:00:00
animeNumMembers	24249
animeScore	6.34
animeUsers	11063
animeRank	7001
animePopularity	3657
animeDescription	"The X-Men are reunited following the death of a teammate, and are summoned by Charles Xavier to Japan following the abduction of Hisako Ichiki (Armor). There, they confront the U-Men, a lunatic cult that steals and transplants mutant organs to further strengthen their own army, and the battle for justice is on.

(Source: Marvel)"
animeRelated	['Wolverine']
animeCharacters	['Howlett, James', 'Summers, Scott', 'Munroe, Ororo', 'Frost, Emma', 'Ichiki, Hisako', 'McCoy, Henry', 'Grey, Jean', 'Xavier, Charles', 'Sasaki, Takeo', 'Todd']
animeVoices	['Koyama, Rikiya', 'Morikawa, Toshiyuki', 'Hisakawa, Aya', 'Yamagata, Kaori', 'Tamura, Yukari', 'Tanaka, Hideyuki', 'Hino, Yurika', 'Hori, Katsunosuke', 'Abe, Atsushi', 'Takagi, Wataru']
animeStaff	[['Kizaki, Fuminori', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Nakajima, Toshihiko', 'Sound Director'], ['Wakabayashi, Shin', 'Episode Director, Storyboard, Key Animation']]
