animeTitle	Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka? OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2020-03-25 00:00:00
endDate	
animeNumMembers	34443
animeScore	6.07
animeUsers	14277
animeRank	8332
animePopularity	3073
animeDescription	"Unaired 13th episode.

To thank the group for all their hard work in the past, Shirase invites the party to enjoy the sunny beach. While enjoying the wonderful weather and pristine waters, an accident causes Masato to lose all his memories, including those of Mamako!

(Source: Funimation)"
animeRelated	['Tsuujou Kougeki ga Zentai Kougeki de 2-kai Kougeki no Okaasan wa Suki desu ka?', 'Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?']
animeCharacters	['Oosuki, Mamako', 'Medhi', 'Porta', 'Wise', 'Shirase, Masumi', 'Oosuki, Masato']
animeVoices	[]
animeStaff	[['Spira Spica', 'Theme Song Performance'], ['Iida, Pochi.', 'Original Character Design'], ['Inaka, Dachima', 'Original Creator']]
