animeTitle	Pinkerton
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.6
animeUsers	2195
animeRank	
animePopularity	6031
animeDescription	Adaptation of the manga by Monorino.
animeRelated	['Pinkerton']
animeCharacters	['Inukai, Kyouko', 'Hotaru', 'Erika', 'Makino', 'Hikari']
animeVoices	['Hayase, Yayoi']
animeStaff	[['Monorino', 'Original Creator'], ['Kasumi, Kyouka', 'Director of Photography'], ['Hirayama, Shinobu', 'Color Design']]
