animeTitle	Super Bikkuriman
animeType	TV
animeNumEpisode	44
releaseDate	1992-05-17 00:00:00
endDate	1993-04-04 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13310
animeDescription	"After of the big war between angels and demons, the Earth is almost destroyed and his cities devastated. Wanted to restore the peace and the harmony, four young child decides to fight against the army of evil that rules the world for to eradicate to the Earth and give them back to hell. 

(Source: IMdB)"
animeRelated	['Bikkuriman 2000', 'Shin Bikkuriman']
animeCharacters	['Phoenix', 'Zeus, Super']
animeVoices	['Kusao, Takeshi', 'Ishimori, Takkou']
animeStaff	[['Kaizawa, Yukio', 'Director'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard'], ['Umezawa, Atsutoshi', 'Episode Director, Storyboard'], ['Watanabe, Akio', 'Key Animation, Animation Director']]
