animeTitle	b'Portable Kuukou'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.56
animeUsers	1318
animeRank	
animePopularity	
animeDescription	"b'A 3 minutes long animated film produced by Studio Kajino, a small studio related to Studio Ghibli, was shown in a double feature prior to the Cutie Honey Live-Action movie. Supervision was done by Yoshiyuki Momose, director of the Ghiblies.\n\nTo be released 16th November 2004 on the ""Ghibli ga Ippai Special Short Short"" DVD, together with other Ghibli-Shorts like Sorairo no Tane, On Your Mark, Space Station No.9, Nandaro and Various Commercials.'"
animeRelated	[b'Soratobu Toshi Keikaku', b'Space Station No.9']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
