animeTitle	Xue Se Cang Qiong
animeType	ONA
animeNumEpisode	26
releaseDate	2017-08-18 00:00:00
endDate	2018-01-26 00:00:00
animeNumMembers	
animeScore	6.27
animeUsers	381
animeRank	
animePopularity	9273
animeDescription	Li Mingyang was originally an ordinary office worker. Because of a strange QR code, he was trapped in a killing city. Here everyone is forced to participate in a survival game that is going to kill or be killed. In the process of finding a way out of the city, the mastermind behind the whole incident surfaced step by step.
animeRelated	[]
animeCharacters	['Wei, Zheng', 'Yu, Lei Zheng', 'Big Ox', 'Guangyuan, Chen', 'Mingyang, Lee', 'Lan, Mi', 'Ping, Lin', 'Mi, Xiao', 'Yuan, Wang Si', 'Lei, Chen']
animeVoices	[]
animeStaff	[]
