animeTitle	Starmyu in Halloween
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.99
animeUsers	609
animeRank	
animePopularity	8232
animeDescription	"The new OVA will tell a story about Hoshitani and friends on Halloween. The OVA will feature a music video for the song ""Storytellers."" 

(Source: ANN)"
animeRelated	['Starmyu 2nd Season']
animeCharacters	['Hoshitani, Yuuta', 'Tsukigami, Kaito', 'Kuga, Shuu', 'Nayuki, Tooru', 'Tengenji, Kakeru', 'Tatsumi, Rui', 'Toraishi, Izumi', 'Ageha, Riku', 'Kitahara, Ren', 'Ugawa, Akira']
animeVoices	['Hanae, Natsuki', 'Lounsbery, Arthur', 'Maeno, Tomoaki', 'Ono, Kensho', 'Hosoya, Yoshimasa', 'Okamoto, Nobuhiko', 'KENN', 'Shimazaki, Nobunaga', 'Umehara, Yuuichirou', 'Matsuoka, Yoshitsugu']
animeStaff	[]
