animeTitle	Otoppe
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15857
animeDescription	The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.
animeRelated	"[""Otoppe Movie: Papa, Don't Cry""]"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
