animeTitle	Twinkle Nora Rock Me!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	3.05
animeUsers	1799
animeRank	
animePopularity	8052
animeDescription	Based on a 1980 manga by Mikuriya Satomi, this adaptation differs considerably from the original. The story started in its prequel was completed with this second OVA. 
animeRelated	['Twinkle Nora', 'Nora']
animeCharacters	['Scholar, Nora', 'Max', 'Ship Captain', 'Police Chief', 'Bartender', 'Fuuchero', 'Touchino']
animeVoices	['Yamamoto, Yuriko', 'Nojima, Akio', 'Fujimoto, Yuzuru', 'Tanaka, Yasuo', 'Gouri, Daisuke', 'Nagai, Ichiro', 'Watabe, Takeshi']
animeStaff	[['Mikuriya, Satomi', 'Director, Script, Storyboard, Original Creator, Character Design'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Yamakawa, Norio', 'Planning'], ['Shimokawa, Tadami', 'Art Director']]
