animeTitle	Hietsuki Bushi
animeType	Music
animeNumEpisode	1
releaseDate	2011-01-01 00:00:00
endDate	
animeNumMembers	293
animeScore	5.53
animeUsers	168
animeRank	10304
animePopularity	14679
animeDescription	"A traditional Japanese song meets science fiction, future agriculture, teenage story, blip music and eccentric animation in a story of quantum physics across time.

(Source: Far East Recording, YouTube)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
