animeTitle	Potemayo Specials
animeType	Special
animeNumEpisode	6
releaseDate	2007-09-25 00:00:00
endDate	2008-02-22 00:00:00
animeNumMembers	3616
animeScore	7.3
animeUsers	1900
animeRank	2420
animePopularity	7896
animeDescription	Potemayo DVD specials.
animeRelated	['Potemayo']
animeCharacters	['Guchuko', 'Potemayo', 'Natsu, Mikan', 'Takamimori, Kyou', 'Moriyama, Sunao', 'Kasugano, Nene', 'Kirihara, Mudou', 'Narrator', 'Natsu, Yasumi', 'Seki, Tomari']
animeVoices	['Tsuji, Ayumi', 'Hanazawa, Kana', 'Kawasumi, Ayako', 'Kaida, Yuuko', 'Kitamura, Eri', 'Kugimiya, Rie', 'Tokita, Hikaru', 'Inoue, Kikuko', 'Okamoto, Nobuhiko']
animeStaff	[['MOSAIC.WAV', 'Theme Song Performance']]
