animeTitle	Meisaku World
animeType	TV
animeNumEpisode	39
releaseDate	1988-04-04 00:00:00
endDate	1989-03-23 00:00:00
animeNumMembers	183
animeScore	
animeUsers	
animeRank	17271
animePopularity	16396
animeDescription	Classic fairy tales and literary works, both western and eastern, originally aired as a part of the early morning children's program Hirake! Ponkikki before the anime was combined and released on VHS. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
