animeTitle	Uchuu Kaizoku Mito no Daibouken
animeType	TV
animeNumEpisode	13
releaseDate	1999-01-05 00:00:00
endDate	1999-03-30 00:00:00
animeNumMembers	2167
animeScore	6.37
animeUsers	608
animeRank	6826
animePopularity	9222
animeDescription	"Mito isn't just another space pirate, she's a three foot tall childlike alien with enough guts to outshine a supernova. She's known as the galaxy's most dangerous pirate, a wanted criminal who destroys a dozen police space cruisers every day before breakfast. But all she really wants is to be called ""Mom.""

(Source: ANN)"
animeRelated	['Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama', 'Uchuu Kaizoku Mito no Daibouken Pilot']
animeCharacters	['Mitsukuni, Aoi', 'Mitsukuni, Mito', 'Tendou', 'Ookubo, Miyako', 'Kafuko, Kakugein', 'Azuki', 'Mitsukuni, Kagerou', 'Shizumi', 'Nenga, Mutsuki', 'Ranban']
animeVoices	['Hoshi, Souichirou', 'Kawakami, Tomoko', 'Okada, Takayuki', 'Toyoshima, Machiko', 'Minami, Omi', 'Takahashi, Mikako', 'Inoue, Kazuhiko', 'Kurosaki, Ayako', 'Ishimura, Tomoko', 'Hori, Hideyuki']
animeStaff	[['Watanabe, Takashi', 'Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Endou, Tetsuya', 'Episode Director'], ['Okajima, Kunitoshi', 'Episode Director']]
