animeTitle	b'Tora to Mike'
animeType	b'ONA'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'At dusk regular customers flock in the little Nagoya shop ""Tora and Mike"" to wash away with sake, a delicious array of food and resounding laughter the hardships of the day. A culinary journey into traditional Japanese home cooking.\n\n(Source: Japanese Books for Everyone)'"
animeRelated	[b'Tora to Mike']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
