animeTitle	UFO Princess Valkyrie
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	6325
animeRank	
animePopularity	4186
animeDescription	"UFO Princess Warukyure, aka UFO Princess Walkyrie is about a princess from outer space who accidentally crashes on earth, where Kazuto desperately tries to maintain the public bath of his grandfather. Due to circumstances, Kazuto receives part of princess Walkyrie's soul which forces her to stay there with him. But that's not the only problem ... because her soul lost strength, the princess transforms both mentally and physically into a little kid!

(Source: AniDB)"
animeRelated	['UFO Princess Valkyrie', 'UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku', 'UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou', 'UFO Princess Valkyrie: Recap']
animeCharacters	['Valkyrie', 'Sanada', 'Tokino, Kazuto', 'Hydra', 'Laine', 'Chorus', 'Mar', 'Inarba', 'Nesti', 'Shirokenhaimu']
animeVoices	['Ogata, Megumi', 'Tanaka, Rie', 'Suzumura, Kenichi', 'Nishimura, Chinami', 'Iizuka, Mayumi', 'Kuwashima, Houko', 'Katou, Nanae', 'Asakawa, Yuu', 'Saizen, Tadahisa']
animeStaff	[['Ueda, Shigeru', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Kosaka, Harume', 'Episode Director'], ['Abe, Masashi', 'Episode Director, Storyboard']]
