animeTitle	Yawarakame♥
animeType	ONA
animeNumEpisode	26
releaseDate	2009-12-01 00:00:00
endDate	2010-05-25 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12979
animeDescription	"A mobile phone TV show broadcasted on Bee TV.  

The anime is most notable for its entire cast being voiced by seiyuu Sawashiro Miyuki, who plays every single character, from male to female and from human to non-human."
animeRelated	[]
animeCharacters	['Yawarakame', 'Assistant', 'Manager', 'Customer']
animeVoices	['Sawashiro, Miyuki']
animeStaff	[]
