animeTitle	Naniwa Kinyuu Den: Minami no Teiou
animeType	OVA
animeNumEpisode	2
releaseDate	1993-09-22 00:00:00
endDate	1994-05-27 00:00:00
animeNumMembers	301
animeScore	
animeUsers	
animeRank	12279
animePopularity	14593
animeDescription	"The story centers around Ginjirou Manda, a loan shark who charges toichi — 10% more interest every 10 days, or 365% every year. Thanks to his unrelenting money-collecting tactics, he is feared as Minami no Oni or the Demon of Osaka's Minami business district.

(Source: ANN)"
animeRelated	['Minami no Teiou']
animeCharacters	['Manda, Ginjirou', 'Hongou', 'Yanagida', 'Makiko', 'Oden-Shop Keeper', 'Jouji', 'Kobun', 'Kyosan', 'Hyoudou', 'Shuuzou']
animeVoices	['Yasuhara, Yoshito', 'Senda, Mitsuo', 'Kitamura, Kouichi', 'Sakakibara, Yoshiko', 'Sugawara, Junichi', 'Ootsuka, Houchuu', 'Ishida, Akira', 'Gouri, Daisuke', 'Yanada, Kiyoyuki', 'Iizuka, Shouzou']
animeStaff	[['Fujimoto, Yoshitaka', 'Director'], ['Ooshiro, Tsutomu', 'Key Animation'], ['Watanabe, Mayumi', 'Character Design'], ['Tennouji, Dai', 'Original Creator']]
