animeTitle	b'Ajin Part 1: Shoudou'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.48
animeUsers	14850
animeRank	
animePopularity	
animeDescription	"b""For high schooler Kei\xe2\x80\x94and for at least forty-six others\xe2\x80\x94immortality comes as the nastiest surprise ever.\n\nSadly for Kei, such a feat doesn't make him a superhero. In the eyes of both the general public and governments, he's a rare specimen who needs to be hunted down and handed over to scientists to be experimented on for life\xe2\x80\x94a demi-human who must die a thousand deaths for the benefit of humanity.\n\n(Source: Vertical)"""
animeRelated	[b'Ajin', b'Ajin Part 2: Shoutotsu', b'Ajin 2nd Season OVA']
animeCharacters	[b'Nagai, Kei', b'Kaito', b'Satou', b'Shimomura, Izumi', b'Tosaki, Yuu', b'Ogura, Ikuya', b'Tanaka, Kouji', b'Nakamura, Shinya', b'Nagai, Eriko', b'Keisuke, Nakajima']
animeVoices	[b'\nMiyano, Mamoru\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nKinoshita, Hiroyuki\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nSuzaki, Aya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSeshita, Hiroyuki\n\nDirector\n\n', b'\nAndou, Hiroaki\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nryo-timo\n\nEpisode Director\n\n']
