animeTitle	b'Enyoku'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	1495
animeRank	
animePopularity	
animeDescription	"b""Awashika Mizuho, a English teacher, strongly desired to have a relationship with Kusumoto Naria, who was a student of her's. She had an intense desire that was beginning to take hold of her every thought.  One day, Mizuho finally began to take action on her feelings and seduced Naria in her office.  That action set her on a prohibited course that would take both Mizuho and Naria to the heights of pleasure. But Mizuho has one obstacle in her way, Yukiha, a girl from her school that may have similar feelings for Naria. What happens from here as pent up lust comes to the surface?"""
animeRelated	[]
animeCharacters	[b'Aojika, Mizuho', b'Kusumoto, Nariya']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Kotaro\n\nProducer\n\n', b'\nMiyabi, Tsuzuru\n\nOriginal Creator\n\n']
