animeTitle	Ketsuekigata-kun! 4
animeType	TV
animeNumEpisode	12
releaseDate	2016-01-12 00:00:00
endDate	2016-03-29 00:00:00
animeNumMembers	2899
animeScore	6.32
animeUsers	1211
animeRank	7076
animePopularity	8482
animeDescription	Fourth season of the Ketsuekigata-kun! series.
animeRelated	['Ketsuekigata-kun! 3']
animeCharacters	['O-gata-kun', 'AB-gata-kun', 'B-gata-kun', 'A-gata-kun']
animeVoices	['Ishida, Akira', 'Kakihara, Tetsuya', 'Nakamura, Yuuichi', 'Fukuyama, Jun']
animeStaff	[['Ooyama, Yoshihisa', 'Director'], ['Narumi, Kyoko', 'Theme Song Performance'], ['Yamashita, Kenichi', 'Series Composition'], ['Hiramine, Yoshihiro', 'Character Design']]
