animeTitle	b'Pittarazu Gekijou Manner CM'
animeType	b'Special'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Pittarazu-themed manner movies shown at T-JOY owned theaters around Japan. The first four were shown from August 7, 2013 to November 1, 2013 and were included as specials on the Pittarazu DVDs. Beginning August 23, 2014, five more manner movies were shown at theaters. All nine manner movies were later posted on DLE's official YouTube channel."""
animeRelated	[b'Pittarazu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
