animeTitle	Nuki Doki! Tenshi to Akuma no Sakusei Battle
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	5252
animeRank	
animePopularity	4596
animeDescription	"Based on the erotic game by Grand Cru Bourgeois. 

Angels and demons had fought over a long time to see who reign supreme. In order to bring closure to this feud. An Angel name Sera and a demon named Firika were sent to the human world to finish this competition. The leader of both angels and demons decided that both the angel and demon must contend for the love of a human named Yamato. Thus, Sera and Firika compete to for Yamato's love and the supremacy of their entire race.

(Source: BakaBT)"
animeRelated	['Nuki Doki! Tenshi to Akuma no Sakusei Battle', 'Nuki Doki! Tenshi to Akuma no Sakusei Battle - Revolution']
animeCharacters	['Mia Shatana, Firika', 'Mitra Airun, Sera', 'Momose, Nonoa', 'Hitsuhara, Yamato']
animeVoices	['Ayabe, Yuika', 'Ichigoyama, Buntarou']
animeStaff	[['Ishihara, Keiji', 'Character Design'], ['Ayase, Hazuki', 'Original Character Design'], ['Grand Cru', 'Original Creator']]
