animeTitle	Muumin
animeType	TV
animeNumEpisode	65
releaseDate	1969-10-05 00:00:00
endDate	1970-12-27 00:00:00
animeNumMembers	5207
animeScore	7.05
animeUsers	1742
animeRank	3557
animePopularity	6891
animeDescription	"Very loosely based upon the Moomin books by Finnish author Tove Jansson. Jansson, however, never really approved of the series due to dramatic changes in plot, atmosphere, character personality, appearance and names etc. The series was directed to adults rather than children.

(Source: Wikipedia)"
animeRelated	['Tanoshii Muumin Ikka', 'Muumin (1972)', 'Muumin Pilot Film']
animeCharacters	['Snufkin', 'Moomintroll', 'Little My', 'Moominpappa', 'Moominmamma', 'Sniff', 'Floren', 'The Groke', 'Stinky', 'Too-Ticky']
animeVoices	['Nishimoto, Hiroyuki', 'Kishida, Kyouko', 'Hori, Junko', 'Takagi, Hitoshi', 'Takamura, Akiko', 'Tomita, Kousei', 'Mutou, Reiko', 'Takiguchi, Junpei', 'Otsuka, Chikao', 'Yamamoto, Yoshiko']
animeStaff	[['Rintaro', 'Director'], ['Asari, Naoko', 'Sound Director'], ['Dezaki, Osamu', 'Episode Director, Storyboard'], ['Takahashi, Ryousuke', 'Episode Director']]
