animeTitle	Kotoura-san: Haruka no Heya
animeType	ONA
animeNumEpisode	6
releaseDate	2012-12-07 00:00:00
endDate	2013-01-11 00:00:00
animeNumMembers	21937
animeScore	6.22
animeUsers	8306
animeRank	7589
animePopularity	3845
animeDescription	Mini episodes of Kotoura-san introducing each of the series' characters.
animeRelated	['Kotoura-san']
animeCharacters	['Kotoura, Haruka', 'Manabe, Yoshihisa', 'Muroto, Daichi', 'Moritani, Hiyori', 'Mifune, Yuriko']
animeVoices	['Kanemoto, Hisako', 'Fukushima, Jun', 'Shimono, Hiro', 'Kubo, Yurika', 'Hanazawa, Kana']
animeStaff	[['Enokids', 'Original Creator']]
