animeTitle	Cardfight!! Vanguard Gaiden: If
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	683
animeRank	
animePopularity	8675
animeDescription	"The series will explore an alternate universe to the main series, and will focus on Kouji Ibuki, an antagonist in the Cardfight!! Vanguard Movie: Neon Messiah, and Suiko Tatsunagi.

(Source: ANN, edited)"
animeRelated	['Cardfight!! Vanguard']
animeCharacters	['Ibuki, Kouji', 'Sendou, Emi', 'Shuka', 'Sendou, Aichi', 'Suzugamori, Ren', 'Morikawa, Katsumi', 'Tatsunagi, Rekka', 'Tatsunagi, Suiko']
animeVoices	['Yoshida, Yuuri']
animeStaff	[['Argonavis', 'Theme Song Performance'], ['Kidani, Takaaki', 'Executive Producer, Original Creator']]
