animeTitle	Love Live! Sunshine!! Recap
animeType	Special
animeNumEpisode	1
releaseDate	2017-09-30 00:00:00
endDate	
animeNumMembers	5887
animeScore	6.79
animeUsers	1879
animeRank	4684
animePopularity	6570
animeDescription	Narrated recap of the first season of Love Live! Sunshine!!. Aired a week prior to the start of the second season.
animeRelated	['Love Live! Sunshine!!', '30-pun de Wakaru! Kore made no Love Live! Sunshine!!']
animeCharacters	['Takami, Chika']
animeVoices	['Inami, Anju']
animeStaff	[]
