animeTitle	Mashiro no Oto Mini
animeType	ONA
animeNumEpisode	33
releaseDate	2021-01-15 00:00:00
endDate	2021-06-21 00:00:00
animeNumMembers	857
animeScore	5.83
animeUsers	108
animeRank	9281
animePopularity	11546
animeDescription	Mini Mashiro no Oto anime released on the official Twitter account.
animeRelated	['Mashiro no Oto']
animeCharacters	['Sawamura, Setsu', 'Nagamori, Rai', 'Yaguchi, Kaito', 'Yamazato, Yui', 'Maeda, Shuri']
animeVoices	[]
animeStaff	[['Matsumoto, Yuuhei', 'Script'], ['Ragawa, Marimo', 'Original Creator']]
